pairnum,sex,zygosity,moed,faed,faminc,English1,English2,Math1,Math2,Eng_Dif,Math_Dif
29,1,1,2,2,4,21,18,17,14,3,3
55,1,1,2,1,3,27,22,30,25,5,5
57,2,1,2,1,5,20,17,18,11,3,7
68,1,1,1,1,1,26,25,30,23,1,7
71,1,1,1,1,1,25,23,25,20,2,5
80,1,1,2,2,4,17,14,21,20,3,1
82,2,1,1,2,4,27,25,23,18,2,5
96,2,1,2,2,4,23,23,21,20,0,1
97,2,1,2,1,2,19,17,20,18,2,2
142,1,1,2,2,2,16,15,25,18,1,7
272,2,1,2,2,3,22,20,23,22,2,1
281,1,1,2,1,4,24,20,25,24,4,1
323,1,1,1,2,4,26,24,34,32,2,2
447,1,1,2,1,3,16,13,18,14,3,4
454,2,1,2,1,1,20,16,20,16,4,4
477,2,1,1,2,3,23,21,32,25,2,7
508,2,1,1,2, ,15,15,16,14,0,2
522,2,1,2,2,7,19,19,21,20,0,1
530,1,1,1,1,2,23,18,28,24,5,4
582,2,1,1,1,3,21,19,20,13,2,7
599,1,1,1,1,2,18,18,33,32,0,1
655,2,1,2,2,3,24,18,11,10,6,1
673,1,1,1,2,3,16,13,27,21,3,6
696,2,1,2,1,2,14,14,22,20,0,2
705,1,1,1,1,2,23,15,31,21,8,10
718,2,1,1,1,1,22,22,14,8,0,6
729,2,1,1,1,7,21,20,17,14,1,3
779,1,1,2,2,2,23,21,27,19,2,8
801,2,1,1,2,3,26,24,25,17,2,8
828,2,1,2,2,6,30,28,32,26,2,6
829,1,1,1,1,1,14,13,28,14,1,14
857,1,1,1,2,4,18,15,24,20,3,4
897,2,1,2,2,5,28,24,33,21,4,12
913,1,1,1,2,4,23,19,30,29,4,1
1000,1,1,1,1,2,13,13,28,21,0,7
1003,2,1,2,2,6,27,27,32,27,0,5
1026,2,1,1,1,1,8,3,10,10,5,0
1051,2,1,1,1,3,22,22,27,18,0,9
1056,2,1,2,2,7,25,25,33,27,0,6
1070,1,1,1,1,3,22,21,30,29,1,1
1092,1,1,1,2,4,27,25,24,22,2,2
1190,2,1,2,2, ,14,9,17,10,5,7
1226,2,1,1,1,1,26,25,22,20,1,2
1227,1,1,2,1,2,28,19,25,24,9,1
1310,2,1,1,1,2,17,16,20,7,1,13
1325,1,1,2,2,2,23,17,25,25,6,0
1329,1,1,1,1,2,23,18,26,25,5,1
1366,1,1,2,1,2,14,13,23,22,1,1
1367,1,1,1,1,2,22,18,24,24,4,0
1384,2,1,1,1,2,19,19,14,13,0,1
1394,2,1, , ,2,29,29,33,31,0,2
1417,1,1,2,2,6,20,20,32,24,0,8
1445,1,1,2,2,4,6,5,13,12,1,1
1455,2,1,2,2,4,24,20,23,21,4,2
1484,2,1,2,1,5,26,22,24,23,4,1
113,2,2,2,2,3,26,19,29,28,7,1
140,2,2,2,2,4,21,20,21,20,1,1
149,2,2,2,2,5,27,26,34,33,1,1
161,2,2,1,2,3,28,24,25,20,4,5
171,2,2,1,2,6,21,20,25,18,1,7
295,2,2,1,1,3,26,12,24,4,14,20
310,2,2,1,2,4,24,21,19,19,3,0
320,1,2,2,1,2,14,10,19,14,4,5
371,1,2,1,2,3,20,17,25,19,3,6
377,2,2,1,1,1,23,20,13,7,3,6
380,2,2,1,2,3,30,24,21,19,6,2
401,2,2, , , ,23,21,25,20,2,5
456,2,2,1,1,2,20,16,20,16,4,4
523,2,2,1,1,3,24,13,18,14,11,4
568,2,2,2,2,4,22,19,22,20,3,2
583,1,2,1,1,1,18,17,23,21,1,2
614,2,2,1,1,1,18,18,20,12,0,8
629,1,2,2,2,3,24,24,28,25,0,3
658,1,2,1,1,4,21,15,28,13,6,15
693,2,2,1,1, ,17,14,25,19,3,6
783,1,2,1,2,2,28,23,32,31,5,1
791,2,2,1,1,2,20,14,24,23,6,1
806,2,2,1,2, ,25,22,32,30,3,2
841,2,2,2,1,3,28,21,31,24,7,7
919,2,2,2,2,7,21,20,25,23,1,2
953,1,2,2,2,7,27,25,35,31,2,4
987,1,2,2,2,6,23,20,32,10,3,22
1037,2,2,2,1,4,22,19,16,8,3,8
1099,2,2,1,1,2,24,21,23,17,3,6
1107,1,2,1,2,2,24,20,24,20,4,4
1123,1,2,2,2,4,22,22,26,23,0,3
1130,1,2,2,2,5,28,22,33,22,6,11
1189,2,2,1,1,1,18,11,19,12,7,7
1339,1,2,1,1,2,22,22,22,20,0,2
1440,2,2,1,1,1,17,17,11,10,0,1
1495,1,2,2,1,2,24,24,28,20,0,8
